V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.9051,0.9691,0.9909,0.9189,0.9944,0.9947,0.9969,0.961049999,0.9931,0.9918,0.972749999,0.907949999,0.9195,0.9309,0.871049999,0.9864,0.962,0.9963,0.9924,0.9449,0.9955,0.9623,0.9939,0.9887,0.919749999,0.9894,0.9978,0.972249999,0.9146,0.9617,0.937249999,0.993,0.9848,0.970449999,0.8927,0.9751,0.8867,0.9903,0.9602,0.9962,0.9809,0.9926,0.9256,0.8619,0.9899,0.9375
0.558149998,0.550949998,0.7647,0.3869,0.7471,0.753749998,0.089959999,0.347349996,0.6476,0.2152,0.4131,0.6808,0.7615,0.5221,0.5429,0.8078,0.691899993,0.2768,0.471549997,0.4106,0.7376,0.1001,0.1777,0.5063,0.5242,0.067269999,0.4816,0.554949998,0.7269,0.4898,0.756049998,0.4013,0.3549,0.626849998,0.8392,0.4833,0.2107,0.7783,0.264849995,0.6397,0.4368,0.3231,0.588249998,0.5111,0.639949998,0.5362
0.9613,0.7409,0.9801,0.7319,0.975,0.9827,0.427949997,0.6316,0.972449999,0.7246,0.681249998,0.9612,0.9913,0.705899993,0.7827,0.9947,0.9906,0.6583,0.735449998,0.7035,0.9926,0.521,0.672399993,0.9113,0.896749999,0.6482,0.752249998,0.9907,0.9943,0.701149998,0.9876,0.785849998,0.707749998,0.95,0.9857,0.854049999,0.674,0.9769,0.739949998,0.8645,0.862249999,0.605199992,0.840149999,0.795,0.809949998,0.702149998
