WAIC,pD WAIC,DIC,pD DIC
3446.094956,130.5559594,3587.704721,302.4045209
3848.119828,190.2789801,4141.9585,538.5913003
4455.130524,136.3782286,4616.323565,321.3611653
11749.34531,457.2131681,12398.51411,1214.926113
