V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.9377,0.9766,0.986349999,0.9388,0.9936,0.9947,0.9959,0.974449999,0.9948,0.9958,0.981,0.9291,0.9414,0.9493,0.9072,0.9923,0.9629,0.9966,0.9948,0.9704,0.997,0.9704,0.9972,0.9938,0.9311,0.9908,0.996,0.9848,0.9295,0.980349999,0.9572,0.995,0.9872,0.9813,0.914,0.9859,0.9145,0.986649999,0.9786,0.9973,0.9866,0.9966,0.936349999,0.8941,0.9913,0.9518
0.6043,0.5713,0.733949998,0.427449997,0.7143,0.7357,0.1337,0.3908,0.654999992,0.281299982,0.4496,0.690649998,0.7405,0.544049998,0.5739,0.7847,0.7029,0.3226,0.513249998,0.4185,0.749549998,0.1395,0.2254,0.5394,0.5535,0.114,0.537449998,0.5645,0.741749998,0.530199991,0.725449998,0.4301,0.3963,0.6824,0.801349998,0.511049998,0.2731,0.836849999,0.3166,0.665549998,0.473349997,0.3589,0.6208,0.544049998,0.6906,0.5646
0.9338,0.7501,0.923849999,0.746449998,0.930849999,0.941649999,0.4367,0.667,0.918999995,0.7462,0.7038,0.9166,0.9485,0.707049998,0.782049998,0.952,0.948449999,0.686449998,0.7339,0.700399993,0.9663,0.578149998,0.7096,0.903749999,0.859249999,0.6806,0.7594,0.9589,0.9766,0.712,0.9103,0.7988,0.688649998,0.902149999,0.9062,0.8308,0.6909,0.9523,0.750849998,0.8624,0.829849998,0.633249998,0.8351,0.7976,0.798849998,0.711149998
