V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.519349805,0.5384,0.477,0.514,0.500349998,0.49069999,0.569249998,0.4855,0.453449997,0.4233,0.461,0.4763,0.5264,0.527049998,0.4922,0.5315,0.496349997,0.5436,0.495249977,0.5057,0.472049997,0.4975,0.645599992,0.4916,0.481849997,0.5802,0.540249998,0.5266,0.5178,0.501249998,0.4923,0.617099992,0.505749998,0.509149998,0.522899962,0.4733,0.4966,0.5263,0.5997,0.578749981,0.5475,0.4323,0.5447,0.5278,0.475,0.471149976
0.7107,0.528799991,0.753049998,0.511949978,0.717649984,0.792649986,0.1012,0.3914,0.7423,0.4886,0.4414,0.7242,0.779249998,0.4848,0.514349998,0.7749,0.7682,0.3984,0.578749998,0.480449997,0.8171,0.148,0.4219,0.7418,0.6148,0.254049995,0.564,0.798999994,0.8858,0.451849997,0.7294,0.6022,0.404449997,0.656349998,0.7596,0.6088,0.387049997,0.823,0.515149998,0.7269,0.5577,0.3455,0.6294,0.547549998,0.657149998,0.470849997
0.007023499,0.042269999,0.013744992,0.002871,0.0044055,0.092189965,0.04435,0.06494,0.01011,0.03813,0.002476998,0.002553,0.003305,0.004987,0.1537,0.007127,0.012364999,0.037275,0.017434999,0.006140499,0.0315,0.0019865,0.066024998,0.03281,0.004579,0.3347,0.100019968,0.002637,0.01009,0.0012725,0.018464999,0.06569,0.006751499,0.009042998,0.001290499,0.002509998,0.0015285,0.036215,0.02492,0.635799929,0.051304994,0.008334,0.073954992,0.1476,0.04765,0.076854973
