WAIC,pD WAIC,DIC,pD DIC
3212.382294,102.742094,3393.093846,300.3254459
3850.888682,195.9024288,4428.660527,829.6023268
5231.867653,526.139229,18409.01874,14027.89514
12295.13863,824.7837518,26230.77311,15157.82291
