V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.5676,0.592649998,0.460399989,0.578249998,0.499549997,0.4988,0.6611,0.4442,0.4408,0.3908,0.448049997,0.425049997,0.548649998,0.498349937,0.469349997,0.5623,0.48589999,0.5532,0.489549997,0.4958,0.438149997,0.473249997,0.6894,0.466399989,0.509649998,0.6233,0.6039,0.525349998,0.5028,0.5015,0.509949998,0.664699992,0.49859999,0.506849998,0.528,0.458899989,0.574649998,0.567149998,0.720449998,0.573649998,0.544049998,0.3917,0.5646,0.4835,0.4572,0.4898
0.613099992,0.4569,0.680649998,0.4157,0.6568,0.729749985,0.052925,0.3131,0.6898,0.4108,0.3034,0.692049998,0.824949998,0.433349997,0.4303,0.8052,0.7795,0.288249996,0.532549998,0.5108,0.8008,0.1541,0.293749996,0.678149998,0.482749997,0.2862,0.4347,0.8077,0.8721,0.374,0.776899994,0.5391,0.3525,0.625,0.8065,0.550199964,0.271,0.7002,0.404549997,0.6659,0.492549997,0.2279,0.5956,0.431849997,0.5909,0.3997
0.3119,0.576449998,0.612849949,0.2512,0.597899925,0.8196,0.732899993,0.6432,0.569849998,0.819349998,0.314949996,0.182999973,0.214249994,0.334699985,0.5042,0.546699991,0.423249997,0.782249998,0.644599992,0.3685,0.793199994,0.4593,0.8498,0.713449998,0.384849997,0.7076,0.861499994,0.288749961,0.312349996,0.420899988,0.416449925,0.778749998,0.3922,0.5471,0.2053,0.414549997,0.117049989,0.67759997,0.550549998,0.8634,0.640499992,0.677999993,0.56074998,0.297849962,0.634699992,0.519249998
