V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.4164,0.412549997,0.4131,0.4138,0.4271,0.4338,0.421,0.428349997,0.4325,0.4294,0.4793,0.4842,0.4817,0.479849997,0.4913,0.490749997,0.4897,0.4923,0.4925,0.4993,0.4747,0.4741,0.472649997,0.5187,0.5184,0.5159,0.5173,0.501949998,0.499,0.5025,0.547449998,0.5505,0.5502,0.5459,0.546749998,0.549,0.5464,0.5588,0.555,0.5587,0.559749998,0.5634,0.5668,0.5606,0.5572,0.5556
0.4128,0.4146,0.413449997,0.4339,0.4299,0.4273,0.4286,0.4289,0.4323,0.4286,0.4818,0.4803,0.479549997,0.4879,0.4904,0.4928,0.493049997,0.492849997,0.4908,0.4923,0.4679,0.4755,0.4693,0.517249998,0.514949998,0.5172,0.4984,0.496849997,0.4974,0.4983,0.5496,0.5492,0.551649998,0.5474,0.5488,0.545249998,0.5558,0.5585,0.5595,0.5626,0.5519,0.5607,0.5577,0.5527,0.558249998,0.558349998
0.4126,0.412149997,0.4158,0.4328,0.426449997,0.4326,0.4296,0.4279,0.433349997,0.4835,0.4835,0.4798,0.4805,0.491149997,0.487949997,0.490849997,0.4916,0.4915,0.4902,0.4688,0.474349997,0.4737,0.4689,0.5173,0.519749998,0.5197,0.4918,0.4987,0.4979,0.5496,0.5531,0.5489,0.547549998,0.5491,0.546649998,0.5514,0.5597,0.5525,0.5579,0.5595,0.5564,0.561,0.5544,0.556449998,0.5593,0.555
0.014394978,0.007459482,0.017614999,0.00205,0.0012725,0.004378499,0.01905,0.001751,0.000776599,0.0030735,0.001621,0.012879984,0.013299996,0.012724991,0.00420797,0.0026065,0.004302495,0.02444,0.003288499,0.01847,0.013977661,0.002006,0.00021385,0.0002184,4.59E-05,0.007794497,0.0003701,0.005836499,0.01064,0.0014865,0.319449996,0.881104466,0.859527277,0.9984,1,1,0.9999,1,0.9999,1,0.999899995,1,1,1,1,0.9999
0.024129998,0.007117,0.083714957,0.0077625,0.054224989,0.016164981,0.041699999,0.010484999,0.014734992,0.008601499,0.165649992,0.005845498,0.065514899,0.00038265,0.001212,0.0005861,0.00021345,0.0011865,0.007365482,0.00035295,0.0062785,0.000897799,7.30E-05,0.006812497,0.00075645,0.0003024,0.050444994,0.026099998,0.0149,0.030089993,0.962938129,0.894208924,0.576600572,0.9992,0.9999,0.9995,1,1,1,0.9981,1,1,1,1,1,1
0.039885,0.317549996,0.007136999,0.104749988,0.002399,0.006397065,0.006392,0.042019981,0.0034845,0.02357,0.056449996,0.0058515,0.017054993,0.003822499,0.0033805,0.025259998,0.001654,0.007541999,0.016894982,0.0001326,2.95E-05,0.0001692,0.002473499,0.001711,9.38E-05,0.010024999,0.0054715,0.01461,0.002751,0.9905554,0.921791734,0.991163554,0.9935,0.9997,0.9998,0.9994,1,1,1,1,0.9994,1,1,1,1,0.994349989
0.2042,0.157549992,0.2754,0.211249994,0.2049,0.1841,0.3203,0.345749996,0.2765,0.287,0.425149997,0.4417,0.295149996,0.407149997,0.3583,0.2569,0.357849997,0.3622,0.4163,0.322149996,0.5047,0.403049997,0.457549997,0.5628,0.520749998,0.535399991,0.529849998,0.717349998,0.49269999,0.6613,0.6832,0.661849998,0.649649998,0.641049998,0.729949998,0.679349998,0.724549998,0.6969,0.681949998,0.721449998,0.7522,0.8019,0.8449,0.8087,0.780149998,0.7917
0.168649993,0.2107,0.207449994,0.2588,0.2037,0.2254,0.188549993,0.240549995,0.2479,0.2528,0.4959,0.280349996,0.3522,0.3445,0.3487,0.43,0.346,0.4683,0.3776,0.363,0.381699987,0.589099992,0.4262,0.4988,0.441,0.5363,0.676349998,0.509949998,0.5918,0.723449998,0.645449998,0.6472,0.7537,0.7256,0.7298,0.6925,0.7316,0.6812,0.793549998,0.7803,0.6734,0.783149998,0.7089,0.8041,0.7993,0.78
0.182549993,0.260849995,0.217249994,0.227649995,0.2531,0.214699977,0.313349996,0.2284,0.260299981,0.2785,0.319249996,0.269449995,0.2734,0.3792,0.5333,0.336,0.3752,0.4999,0.3628,0.5281,0.4296,0.447649997,0.3598,0.5015,0.544649998,0.6051,0.5123,0.570249998,0.551349998,0.6304,0.6557,0.68,0.7089,0.660349998,0.7283,0.767,0.7004,0.8351,0.6822,0.7865,0.6849,0.7701,0.8314,0.784149998,0.803249998,0.801249998
