WAIC,pD WAIC,DIC,pD DIC
3450.548357,131.3151284,3603.840161,313.4287608
3815.305791,182.492428,4025.8204,442.4062004
4515.11694,163.9021487,4930.121222,611.5968217
11780.97109,477.7097051,12485.21878,1292.922777
