WAIC,pD WAIC,DIC,pD DIC
3604.925484,201.5340159,5874.493098,2537.493898
3757.619236,160.5156995,3943.835821,387.9826214
4419.830171,131.1254124,4532.225927,268.9915266
11782.37489,493.1751278,14281.8917,3125.727698
