WAIC,pD WAIC,DIC,pD DIC
3471.247679,163.5494708,3642.985095,381.1760947
3846.18098,218.2891384,4087.551882,527.1680824
4446.834891,159.8505352,4600.71499,350.6409902
11764.26355,541.6891444,12343.14538,1270.905381
