V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.689999993,0.362849997,0.479699906,0.389449997,0.5185,0.412249851,0.51924994,0.4722,0.5013,0.50409999,0.5158,0.4589,0.48019999,0.5381,0.488549997,0.467449869,0.516149998,0.506149978,0.577999922,0.519049998,0.468199957,0.541449979,0.530999991,0.5012,0.482049997,0.504249998,0.538949998,0.4757,0.531999991,0.376449917,0.605949998,0.529749998,0.498749997,0.4582,0.4317,0.456349932,0.421149997,0.493,0.637799992,0.495649997,0.558549998,0.497149997,0.2634,0.5234,0.526849998,0.49589999
0.257349956,0.460449997,0.459949997,0.445999989,0.49549999,0.49859999,0.531449998,0.473349997,0.471249997,0.524249998,0.515349998,0.543499963,0.519049998,0.403299988,0.471849997,0.556699964,0.532649998,0.496149997,0.455649997,0.5036,0.520849978,0.500249978,0.667649983,0.4133,0.3855,0.527099848,0.5275,0.508749998,0.50969999,0.51029999,0.526399915,0.570649998,0.491849997,0.480149977,0.640899992,0.612799992,0.501349998,0.498449797,0.452299956,0.4497,0.5315,0.49739996,0.547699918,0.4587,0.5449,0.4673
0.383149918,0.459049975,0.6011,0.511649998,0.5314,0.5002,0.490499908,0.49769999,0.464349997,0.4591,0.473949871,0.453999989,0.486749997,0.5375,0.572,0.532699662,0.4145,0.4819,0.472099989,0.64699993,0.474349997,0.528649998,0.552949998,0.5292,0.508749998,0.486749997,0.502149998,0.4482,0.535149979,0.509,0.493349997,0.465649997,0.5975,0.472149997,0.595349981,0.529849979,0.462149997,0.6462,0.463749868,0.5645,0.536449998,0.486149997,0.487799959,0.457799989,0.533249998,0.5949
0.436299989,0.3016,0.7544,0.640149998,0.502349998,0.3803,0.5783,0.442949997,0.504149998,0.486249997,0.491,0.5597,0.512049998,0.566949998,0.510749998,0.5001,0.558599991,0.6648,0.4371,0.180349993,0.5061,0.499749977,0.487849997,0.471249997,0.5315,0.498249997,0.5075,0.426949997,0.509049998,0.596349998,0.685849998,0.656149998,0.688049998,0.580749998,0.549349998,0.49,0.500649998,0.7587,0.329349966,0.4021,0.441,0.501949998,0.4389,0.5178,0.429449997,0.393049997
0.1013,0.611849998,0.7364,0.39619995,0.456,0.5566,0.433149974,0.5281,0.460849997,0.536749998,0.500249998,0.4486,0.5083,0.531049998,0.5075,0.502749998,0.458599989,0.383049997,0.5295,0.600899992,0.502849998,0.492349997,0.512949998,0.5614,0.5015,0.5422,0.4569,0.466349997,0.418449997,0.426649997,0.5823,0.755549998,0.503349998,0.5631,0.464949997,0.440599989,0.519349998,0.483849997,0.471,0.4559,0.479449997,0.6078,0.572249998,0.433849997,0.4647,0.397299987
0.5382,0.743549985,0.5202,0.445549997,0.627899992,0.4509,0.4154,0.529,0.456949997,0.51369999,0.4746,0.447249997,0.464849997,0.396599987,0.6693,0.599749998,0.533199991,0.644999969,0.580199991,0.51589999,0.50829999,0.4797,0.5085,0.493349997,0.50589999,0.462049997,0.485349997,0.5827,0.547649998,0.6535,0.428099988,0.732949998,0.4504,0.5764,0.485549997,0.426399988,0.55334998,0.790949998,0.587749998,0.365449997,0.417549997,0.469849997,0.3711,0.456449997,0.4218,0.353149996
0.505749998,0.4288,0.4608,0.5662,0.528149998,0.722,0.223199978,0.37,0.463249997,0.444349997,0.445949997,0.574449998,0.52339999,0.544149998,0.501749998,0.4847,0.513449998,0.48119999,0.549349998,0.591049998,0.5283,0.471849997,0.479849997,0.498549997,0.554,0.5023,0.5125,0.554199964,0.5614,0.363049997,0.657899992,0.357549997,0.3348,0.559,0.528949998,0.524949998,0.5387,0.4825,0.592949998,0.5114,0.462749997,0.692949998,0.6978,0.570099921,0.4719,0.4917
0.400749997,0.5129,0.4225,0.6738,0.531849998,0.530149979,0.546949998,0.52629999,0.281499982,0.568749998,0.473149997,0.4631,0.4048,0.4834,0.478349997,0.526599991,0.498049997,0.547949998,0.464149997,0.4725,0.322699985,0.495249997,0.3654,0.48589999,0.526549998,0.4954,0.5357,0.503149998,0.500149998,0.5579,0.352449968,0.6666,0.466449997,0.526849998,0.440949974,0.294799983,0.555749998,0.506349998,0.506549998,0.606349998,0.2526,0.525249998,0.583199991,0.4731,0.5566,0.47789999
0.5233,0.4667,0.499,0.5541,0.4152,0.5527,0.5837,0.4889,0.557349495,0.484649997,0.5201,0.4773,0.487,0.481649997,0.494749997,0.4824,0.474299989,0.504549998,0.4704,0.3772,0.5363,0.5081,0.47839999,0.490149997,0.5427,0.518349998,0.643,0.500349998,0.5328,0.5721,0.5045,0.383649997,0.5174,0.518049998,0.452949997,0.539499991,0.480849997,0.4569,0.576649998,0.4282,0.493249997,0.5523,0.49229999,0.5995,0.4731,0.476049997
