V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.595699992,0.593049998,0.5848,0.576949998,0.606549998,0.584249998,0.606149998,0.585599991,0.563549998,0.591649998,0.593049998,0.582949998,0.559199991,0.5788,0.581149998,0.562299964,0.559849998,0.5334,0.534349998,0.5418,0.513449998,0.4884,0.484749997,0.447549997,0.4153,0.4509,0.444849997,0.408299951,0.435,0.388099987,0.395249997,0.387349997,0.383149997,0.424649997,0.408949997,0.416649997,0.421599988,0.432549997,0.4535,0.4306,0.4637,0.464649997,0.4495,0.474549997,0.482649997,0.4871
0.6097,0.577799991,0.583449981,0.600799992,0.610399992,0.597749998,0.606699992,0.567349998,0.584449981,0.566349998,0.578249998,0.585049998,0.625449998,0.540949998,0.555799991,0.556849998,0.534449998,0.547949998,0.5299,0.533549998,0.4965,0.5116,0.482449997,0.407349997,0.435649997,0.436,0.4253,0.4376,0.419049997,0.436149974,0.3871,0.389349997,0.3999,0.446249997,0.4591,0.4728,0.4577,0.440199989,0.430699954,0.459249997,0.4446,0.466749997,0.474099989,0.495849997,0.472049997,0.4796
0.577149998,0.5773,0.59484983,0.601349981,0.602199701,0.5926,0.582749998,0.552549998,0.564949998,0.579749981,0.5694,0.586,0.6071,0.5781,0.5868,0.5628,0.530499991,0.532349998,0.522,0.47829999,0.5096,0.5028,0.4938,0.435449997,0.4507,0.448799989,0.437649997,0.4129,0.4346,0.399349997,0.4025,0.371,0.442149975,0.4097,0.456349997,0.426749997,0.429049927,0.458549997,0.4373,0.4524,0.457249997,0.465749997,0.487549997,0.4628,0.48159999,0.4797
0.3243,0.2064,0.3358,0.286649996,0.2857,0.231749995,0.414949997,0.346949996,0.3457,0.3266,0.4266,0.4954,0.4003,0.507849998,0.458749997,0.31,0.379349997,0.4451,0.4199,0.3329,0.448849997,0.468,0.532049979,0.4729,0.516749998,0.5,0.490349997,0.593749998,0.458349975,0.585449998,0.6365,0.6276,0.6259,0.6245,0.669649998,0.650849998,0.6534,0.784599994,0.5088,0.722549998,0.6879,0.7196,0.7143,0.764649998,0.7021,0.7186
0.12874999,0.290449996,0.315949996,0.2429,0.252049995,0.3462,0.2402,0.3547,0.2931,0.3371,0.415999988,0.4112,0.469999989,0.374449997,0.3998,0.4012,0.4159,0.323549996,0.4228,0.4495,0.4453,0.457149997,0.582,0.5419,0.457749997,0.4725,0.4666,0.4545,0.4635,0.409549997,0.611299992,0.639049998,0.6387,0.658,0.659449998,0.65739997,0.6397,0.715,0.7035,0.6855,0.730849998,0.7177,0.699949998,0.6176,0.7552,0.746149998
0.2634,0.3305,0.358149997,0.290149996,0.375149997,0.267649995,0.3573,0.342249996,0.309749996,0.3782,0.390849997,0.347,0.2956,0.348549996,0.5994,0.4208,0.4065,0.5149,0.428549997,0.5195,0.4559,0.496349997,0.424749997,0.4966,0.5028,0.518649998,0.4317,0.511449998,0.4772,0.608,0.637849998,0.6645,0.6298,0.6443,0.652549998,0.6627,0.7413,0.778799994,0.7321,0.6586,0.587649998,0.7024,0.7062,0.7769,0.689549998,0.5708
0.340949996,0.3162,0.332349996,0.3489,0.3682,0.3529,0.3514,0.378549997,0.356199986,0.3648,0.471,0.4808,0.484,0.4796,0.4992,0.5113,0.51009999,0.48399999,0.4995,0.507349998,0.4527,0.444849997,0.4507,0.511149998,0.526649998,0.511349998,0.5331,0.5358,0.556449998,0.519749998,0.6154,0.5808,0.583849998,0.607449998,0.603549998,0.6108,0.6137,0.5772,0.596249998,0.568,0.6006,0.620049998,0.597299992,0.597549998,0.5955,0.599249998
0.3221,0.335399985,0.328699985,0.354,0.3555,0.356349996,0.358249997,0.3755,0.352749996,0.3728,0.475249997,0.464,0.4568,0.501749998,0.500649998,0.4995,0.4869,0.4977,0.4803,0.4843,0.433949997,0.4574,0.448949997,0.50089999,0.5372,0.5218,0.5527,0.547849998,0.5444,0.542,0.5773,0.621,0.5853,0.601249998,0.5884,0.566249998,0.584749998,0.5858,0.576549998,0.604,0.5477,0.6033,0.6224,0.5937,0.588649998,0.590249998
0.328849996,0.329549996,0.3379,0.338849996,0.351649996,0.3422,0.3736,0.367349997,0.380149997,0.467649997,0.493,0.4663,0.476349997,0.502349978,0.4967,0.4942,0.4842,0.4871,0.4733,0.4451,0.4633,0.4556,0.462649997,0.5225,0.519249998,0.511149998,0.5805,0.5373,0.548549998,0.6096,0.5944,0.590449998,0.602549998,0.611849998,0.5884,0.613,0.574,0.5567,0.5933,0.5971,0.596149998,0.602349998,0.5977,0.612,0.583749998,0.6033
